"line","name","colour","stripe"
1,Hospital de Bellvitge - Badalona Centre,FF0000,NULL
2,Fira 2 - Morera,840084,NULL
3,Zona Universitària - Trinitat Nova,008400,NULL
4,Trinitat Nova - Sagrera-Meridiana,F7BD39,NULL
5,Cornellà Centre - Vall d'Hebron,007BE7,NULL
6,Pça Catalunya - Reina Elisenda,1D43BC,NULL
7,Pça Catalunya - Av. Tibidabo,9C4A13,NULL
8,Pça Espanya - Molí Nou-Ciutat Cooperativa,FF74F7,NULL
9,Aeroport Terminal Sud - Can Zam,FF7F00,NULL
10,Zona Franca - Gorg,00a6d6,NULL
11,Trinitat Nova - Can Cuiàs,81f109,NULL
